# name	regex	description
private-key-block	-----BEGIN (RSA |EC |OPENSSH |DSA |PGP )?PRIVATE KEY-----	PEM/SSH/PGP private key header
aws-access-key-id	AKIA[A-Z0-9]{16}	AWS access key ID
aws-secret-access-key	aws_secret_access_key[ ]*[:=][ ]*['"]?[A-Za-z0-9/+]{40}['"]?	AWS secret access key assignment
jwt	eyJ[A-Za-z0-9_=-]+\.[A-Za-z0-9_=-]+\.[A-Za-z0-9_=-]+	JSON Web Token
github-token	gh[oprsu]_[A-Za-z0-9]{36,}	GitHub PAT / OAuth / app token
github-fine-grained-pat	github_pat_[A-Za-z0-9_]{22,}	GitHub fine-grained personal access token
slack-token	xox[baprs]-[A-Za-z0-9-]{10,}	Slack API token
slack-webhook-url	https://hooks\.slack\.com/services/[A-Za-z0-9/]+	Slack incoming webhook URL
google-api-key	AIza[A-Za-z0-9_-]{35,}	Google API key
stripe-live-key	[sr]k_live_[A-Za-z0-9]{24,}	Stripe live secret/restricted key
connection-string-credential	[A-Za-z][A-Za-z0-9+.-]*://[^:/@ ]+:[^@/ ]+@	URL with embedded user:password@
generic-credential-assignment	(api[_-]?key|secret|password|passwd|token|access[_-]?key)[ ]*[:=][ ]*['"]?[A-Za-z0-9_/+-]{8,}['"]?	Generic key = value style credential assignment
